language,sent_id,N,L,d_real,d_min,d_rand,omega
Arabic,n01026004,14,13,2.5714,1.8571,3.6505,0.6017
Arabic,n01026016,12,11,2.7273,1.8333,3.31,0.3946
Arabic,n01027007,3,2,1.3333,1.3333,1.3333,0.5
Arabic,n01027030,12,11,3.2727,1.8333,3.2954,0.0155
Arabic,n01027041,18,17,3.6275,1.8889,4.2786,0.2725
Arabic,n01027049,9,8,2.4444,1.7778,2.7864,0.339
Arabic,n01028022,26,25,3.0092,1.9231,5.2944,0.6778
Arabic,n01029006,21,20,3.3714,1.9048,4.7284,0.4806
Arabic,n01029007,14,13,2.4945,1.8571,3.6704,0.6485
Arabic,n01029011,31,30,4.3355,1.9355,5.9236,0.3982
Arabic,n01029014,22,21,3.9004,1.9091,4.7325,0.2947
Arabic,n01030005,27,26,4.0399,1.9259,5.383,0.3885
Arabic,n01030006,25,24,3.82,1.92,5.1019,0.4029
Arabic,n01030008,33,32,4.4205,1.9394,6.1161,0.406
Arabic,n01031005,15,14,3.7714,1.8667,3.7915,0.0104
Arabic,n01031021,24,23,3.8986,1.9167,4.9816,0.3534
Arabic,n01032032,20,19,3.9947,1.9,4.487,0.1903
Arabic,n01033005,24,23,4.9348,1.9167,5.026,0.0293
Arabic,n01033012,30,29,5.5517,1.9333,5.6843,0.0353
Arabic,n01033021,24,23,3.8841,1.9167,5.11,0.3839
Arabic,n01033028,12,11,2.8485,1.8333,3.3245,0.3192
Arabic,n01033031,20,19,3.6947,1.9,4.4858,0.3059
Arabic,n01034033,32,31,4.2903,1.9375,6.0723,0.431
Arabic,n01034060,22,21,3.7229,1.9091,4.7777,0.3677
Arabic,n01035004,39,38,5.9757,1.9487,6.6618,0.1456
Arabic,n01035013,28,27,4.381,1.9286,5.5251,0.3181
Arabic,n01035025,25,24,3.94,1.92,5.1244,0.3696
Arabic,n01035030,27,26,3.9658,1.9259,5.4208,0.4163
Arabic,n01036002,30,29,6.1333,1.9333,5.8129,-0.0826
Arabic,n01036020,26,25,3.8062,1.9231,5.2224,0.4292
Arabic,n01036033,26,25,4.3846,1.9231,5.28,0.2667
Arabic,n01037020,41,40,5.1341,1.9512,6.8331,0.348
Arabic,n01038021,39,38,4.8799,1.9487,6.7027,0.3834
Arabic,n01038025,21,20,4.2762,1.9048,4.6591,0.139
Arabic,n01039013,40,39,5.8038,1.95,6.7735,0.201
Arabic,n01039018,11,10,2.5818,1.8182,3.1585,0.4303
Arabic,n01039039,19,18,3.2515,1.8947,4.4196,0.4627
Arabic,n01040028,27,26,4.1083,1.9259,5.3992,0.3717
Arabic,n01041006,24,23,3.7717,1.9167,5.0548,0.4089
Arabic,n01041018,21,20,2.9143,1.9048,4.6896,0.6375
Arabic,n01042004,30,29,4.708,1.9333,5.6698,0.2574
Arabic,n01042008,26,25,4.0646,1.9231,5.2622,0.3586
Arabic,n01043005,43,42,6.8704,1.9535,7.077,0.0403
Arabic,n01043014,17,16,3.3382,1.8824,4.1114,0.3469
Arabic,n01043025,31,30,4.5462,1.9355,5.791,0.3228
Arabic,n01043027,23,22,4.0395,1.913,4.8586,0.2781
Arabic,n01044004,32,31,5.5222,1.9375,5.8986,0.095
Arabic,n01044009,25,24,3.8667,1.92,5.2122,0.4087
Arabic,n01045010,42,41,5.4228,1.9524,6.9559,0.3064
Arabic,n01045035,26,25,4.0708,1.9231,5.3019,0.3644
Arabic,n01046003,11,10,2.8364,1.8182,3.1133,0.2138
Arabic,n01046036,17,16,3.4265,1.8824,4.0836,0.2985
Arabic,n01046057,19,18,4.0234,1.8947,4.3865,0.1457
Arabic,n01047048,9,8,2.6667,1.7778,2.7625,0.0973
Arabic,n01048008,37,36,5.2102,1.9459,6.4572,0.2764
Arabic,n01049022,43,42,4.4385,1.9535,7.0933,0.5165
Arabic,n01049033,26,25,4.0031,1.9231,5.2698,0.3785
Arabic,n01050006,27,26,4.2051,1.9259,5.4133,0.3464
Arabic,n01050009,7,6,2.0,1.7143,2.3467,0.5482
Arabic,n01050014,34,33,4.3975,1.9412,6.1777,0.4202
Arabic,n01050019,12,11,2.8939,1.8333,3.2989,0.2763
Arabic,n01051004,43,42,4.9878,1.9535,7.0317,0.4025
Arabic,n01051006,16,15,3.5,1.875,3.9979,0.2345
Arabic,n01051007,16,15,3.2333,1.875,3.9458,0.344
Arabic,n01052004,7,6,2.1905,1.7143,2.341,0.2401
Arabic,n01052006,26,25,3.6092,1.9231,5.2317,0.4904
Arabic,n01053008,22,21,3.2814,1.9091,4.7969,0.5248
Arabic,n01053036,27,26,4.416,1.9259,5.3437,0.2715
Arabic,n01053041,12,11,2.3485,1.8333,3.3047,0.6499
Arabic,n01054011,20,19,3.4158,1.9,4.5069,0.4185
Arabic,n01054017,19,18,3.9649,1.8947,4.3822,0.1677
Arabic,n01055008,21,20,4.8095,1.9048,4.5971,-0.0789
Arabic,n01055038,28,27,3.3016,1.9286,5.5261,0.6183
Arabic,n01055047,11,10,2.4,1.8182,3.1315,0.557
Arabic,n01057014,20,19,3.3895,1.9,4.5463,0.4371
Arabic,n01057036,11,10,2.6545,1.8182,3.1051,0.3501
Arabic,n01058037,23,22,3.7312,1.913,4.8905,0.3894
Arabic,n01058052,30,29,4.8161,1.9333,5.6723,0.229
Arabic,n01058064,19,18,4.2222,1.8947,4.457,0.0916
Arabic,n01059008,16,15,3.425,1.875,3.9315,0.2463
Arabic,n01059019,18,17,3.7451,1.8889,4.1893,0.1931
Arabic,n01059025,27,26,4.3248,1.9259,5.3809,0.3057
Arabic,n01059054,27,26,4.433,1.9259,5.3901,0.2763
Arabic,n01060069,41,40,4.8146,1.9512,6.7888,0.4081
Arabic,n01061016,18,17,3.7778,1.8889,4.2042,0.1842
Arabic,n01061023,25,24,4.0733,1.92,5.0808,0.3187
Arabic,n01061041,17,16,4.0882,1.8824,4.1498,0.0271
Arabic,n01062035,9,8,2.6111,1.7778,2.7683,0.1587
Arabic,n01062049,4,3,1.5,1.5,1.6142,1.0
Arabic,n01063011,17,16,3.0,1.8824,4.0784,0.4911
Arabic,n01063043,26,25,4.3815,1.9231,5.2676,0.2649
Arabic,n01063048,25,24,4.26,1.92,5.094,0.2628
Arabic,n01063051,21,20,3.8095,1.9048,4.5896,0.2906
Arabic,n01064009,13,12,2.8205,1.8462,3.5215,0.4184
Arabic,n01064096,20,19,3.3368,1.9,4.5116,0.4498
Arabic,n01064113,30,29,4.2023,1.9333,5.7187,0.4006
Arabic,n01065073,17,16,3.0588,1.8824,4.1061,0.471
Arabic,n01066045,35,34,6.1681,1.9429,6.2734,0.0243
Arabic,n01066068,19,18,3.345,1.8947,4.3077,0.3989
Arabic,n01066093,15,14,2.7429,1.8667,3.8044,0.5478
Arabic,n01067014,15,14,2.9714,1.8667,3.8034,0.4296
Arabic,n01067023,25,24,4.3733,1.92,5.1929,0.2504
Arabic,n01068029,18,17,3.4248,1.8889,4.2196,0.341
Arabic,n01068038,15,14,3.2381,1.8667,3.7988,0.2902
Arabic,n01069004,19,18,3.5906,1.8947,4.396,0.322
Arabic,n01069006,23,22,3.9447,1.913,4.9451,0.3299
Arabic,n01069014,19,18,3.5322,1.8947,4.3927,0.3445
Arabic,n01069023,17,16,2.9706,1.8824,4.0719,0.503
Arabic,n01070016,11,10,2.9455,1.8182,3.1716,0.1671
Arabic,n01070017,20,19,3.3947,1.9,4.42,0.4068
Arabic,n01070020,4,3,1.5,1.5,1.625,1.0
Arabic,n01071009,30,29,4.2736,1.9333,5.7264,0.383
Arabic,n01072010,15,14,3.4286,1.8667,3.8129,0.1975
Arabic,n01072012,11,10,2.9091,1.8182,3.1487,0.1801
Arabic,n01072021,25,24,3.9133,1.92,5.1239,0.3778
Arabic,n01073004,9,8,2.6667,1.7778,2.7719,0.1059
Arabic,n01073023,15,14,3.4667,1.8667,3.7928,0.1693
Arabic,n01074011,11,10,2.6909,1.8182,3.1405,0.34
Arabic,n01074015,18,17,3.5294,1.8889,4.2969,0.3187
Arabic,n01074020,13,12,2.7949,1.8462,3.4572,0.4111
Arabic,n01074026,18,17,3.2353,1.8889,4.2565,0.4313
Arabic,n01074030,22,21,4.0087,1.9091,4.7619,0.264
Arabic,n01075028,15,14,2.8,1.8667,3.8072,0.519
Arabic,n01075044,18,17,3.1503,1.8889,4.2449,0.4646
Arabic,n01076006,20,19,3.1316,1.9,4.4927,0.525
Arabic,n01076017,24,23,3.442,1.9167,4.9768,0.5015
Arabic,n01076030,6,5,1.8667,1.6667,2.1567,0.5918
Arabic,n01077018,7,6,2.0,1.7143,2.3481,0.5492
Arabic,n01077030,22,21,4.684,1.9091,4.7756,0.032
Arabic,n01078025,16,15,3.1583,1.875,3.9591,0.3842
Arabic,n01079015,22,21,3.974,1.9091,4.7682,0.2778
Arabic,n01079065,25,24,3.4867,1.92,5.1457,0.5143
Arabic,n01079069,25,24,3.9933,1.92,5.1776,0.3635
Arabic,n01080039,9,8,2.2778,1.7778,2.7486,0.485
Arabic,n01080042,21,20,3.6476,1.9048,4.6258,0.3595
Arabic,n01081022,33,32,4.25,1.9394,6.0319,0.4354
Arabic,n01082014,34,33,4.0267,1.9412,6.1029,0.4989
Arabic,n01083013,22,21,3.8701,1.9091,4.8008,0.3219
Arabic,n01083035,10,9,2.2889,1.8,2.987,0.5881
Arabic,n01084008,27,26,3.8974,1.9259,5.3631,0.4264
Arabic,n01084023,35,34,4.279,1.9429,6.2263,0.4546
Arabic,n01084036,14,13,2.8352,1.8571,3.6438,0.4526
Arabic,n01084045,36,35,4.9794,1.9444,6.4487,0.3262
Arabic,n01085006,25,24,3.72,1.92,5.2067,0.4523
Arabic,n01085008,12,11,2.8182,1.8333,3.287,0.3225
Arabic,n01085011,13,12,2.5641,1.8462,3.4815,0.561
Arabic,n01086013,24,23,4.2609,1.9167,5.0165,0.2438
Arabic,n01086016,20,19,3.3368,1.9,4.4675,0.4404
Arabic,n01086031,6,5,1.9333,1.6667,2.1247,0.4178
Arabic,n01087005,14,13,3.033,1.8571,3.7014,0.3624
Arabic,n01087018,14,13,2.7363,1.8571,3.6108,0.4987
Arabic,n01087023,22,21,3.5281,1.9091,4.7354,0.4271
Arabic,n01087035,8,7,2.1071,1.75,2.5698,0.5644
Arabic,n01087039,15,14,2.9333,1.8667,3.7814,0.4429
Arabic,n01088026,16,15,3.0833,1.875,3.906,0.4051
Arabic,n01089007,14,13,3.0879,1.8571,3.6246,0.3036
Arabic,n01089033,21,20,3.419,1.9048,4.6935,0.457
Arabic,n01090004,30,29,4.0023,1.9333,5.6864,0.4487
Arabic,n01090037,32,31,4.4819,1.9375,6.0507,0.3814
Arabic,n01091013,17,16,3.0,1.8824,4.1086,0.498
Arabic,n01091017,27,26,4.5014,1.9259,5.4009,0.2588
Arabic,n01091019,30,29,4.6414,1.9333,5.7018,0.2814
Arabic,n01092008,8,7,2.0714,1.75,2.5521,0.5993
Arabic,n01092014,6,5,1.8667,1.6667,2.135,0.573
Arabic,n01092025,34,33,3.9982,1.9412,6.1296,0.5089
Arabic,n01092040,35,34,4.9782,1.9429,6.3197,0.3065
Arabic,n01093007,18,17,3.3922,1.8889,4.2303,0.358
Arabic,n01093024,27,26,3.5613,1.9259,5.4211,0.5321
Arabic,n01093025,8,7,2.5,1.75,2.5736,0.0893
Arabic,n01094014,6,5,1.8667,1.6667,2.14,0.5775
Arabic,n01094022,33,32,4.0644,1.9394,6.0883,0.4878
Arabic,n01095004,26,25,3.8708,1.9231,5.2516,0.4148
Arabic,n01095009,6,5,1.6667,1.6667,2.1263,1.0
Arabic,n01095019,12,11,2.8333,1.8333,3.3204,0.3275
Arabic,n01096006,21,20,4.8762,1.9048,4.6074,-0.0995
Arabic,n01096032,19,18,3.6023,1.8947,4.4022,0.319
Arabic,n01096040,24,23,3.9565,1.9167,5.1303,0.3653
Arabic,n01097020,25,24,3.8267,1.92,5.1877,0.4165
Arabic,n01097041,5,4,1.8,1.6,1.891,0.3127
Arabic,n01097098,11,10,2.6909,1.8182,3.1084,0.3236
Arabic,n01098034,9,8,2.4444,1.7778,2.7681,0.3268
Arabic,n01098041,9,8,2.4444,1.7778,2.7942,0.3441
Arabic,n01098044,33,32,4.9356,1.9394,6.0288,0.2673
Arabic,n01099035,46,45,3.8145,1.9565,7.3627,0.6563
Arabic,n01101003,21,20,3.1524,1.9048,4.6064,0.5382
Arabic,n01101007,18,17,3.6275,1.8889,4.2212,0.2546
Arabic,n01101012,25,24,4.3,1.92,5.1641,0.2664
Arabic,n01101015,18,17,3.5359,1.8889,4.2884,0.3136
Arabic,n01101017,15,14,3.181,1.8667,3.7349,0.2965
Arabic,n01102006,24,23,4.0036,1.9167,5.0549,0.335
Arabic,n01103013,9,8,2.3333,1.7778,2.7478,0.4273
Arabic,n01104011,25,24,4.22,1.92,5.1216,0.2816
Arabic,n01104019,13,12,2.641,1.8462,3.4977,0.5187
Arabic,n01105003,23,22,3.4625,1.913,4.8912,0.4797
Arabic,n01105013,18,17,3.6078,1.8889,4.1962,0.255
Arabic,n01105023,11,10,2.3636,1.8182,3.1607,0.5937
Arabic,n01106008,14,13,3.5714,1.8571,3.6441,0.0407
Arabic,n01106015,19,18,3.0994,1.8947,4.4095,0.521
Arabic,n01107005,33,32,4.2386,1.9394,6.0812,0.4449
Arabic,n01107006,22,21,3.8009,1.9091,4.8033,0.3464
Arabic,n01107008,23,22,4.0,1.913,4.8759,0.2956
Arabic,n01107010,19,18,3.4152,1.8947,4.3875,0.39
Arabic,n01108003,29,28,3.4138,1.931,5.5664,0.5921
Arabic,n01108005,21,20,3.419,1.9048,4.6072,0.4397
Arabic,n01108015,22,21,3.5455,1.9091,4.7838,0.4308
Arabic,n01109008,16,15,2.925,1.875,3.9416,0.4919
Arabic,n01109012,34,33,4.4011,1.9412,6.179,0.4195
Arabic,n01109022,10,9,2.2889,1.8,2.9508,0.5752
Arabic,n01110006,23,22,5.4071,1.913,4.8529,-0.1885
Arabic,n01110008,16,15,3.0417,1.875,3.9702,0.4432
Arabic,n01110022,23,22,3.7866,1.913,4.9374,0.3805
Arabic,n01111018,13,12,2.8462,1.8462,3.4799,0.3879
Arabic,n01111021,30,29,4.0736,1.9333,5.8669,0.4559
Arabic,n01111030,18,17,3.2484,1.8889,4.2709,0.4293
Arabic,n01112002,17,16,3.1471,1.8824,4.0499,0.4165
Arabic,n01112012,9,8,2.7222,1.7778,2.7697,0.0479
Arabic,n01112014,35,34,4.3899,1.9429,6.2466,0.4314
Arabic,n01113021,15,14,3.3143,1.8667,3.8103,0.2552
Arabic,n01114012,26,25,4.2431,1.9231,5.3485,0.3227
Arabic,n01114025,29,28,4.3695,1.931,5.5686,0.3296
Arabic,n01115005,8,7,2.3214,1.75,2.5714,0.3043
Arabic,n01115013,16,15,2.8667,1.875,3.9443,0.5208
Arabic,n01116009,18,17,3.281,1.8889,4.2742,0.4164
Arabic,n01116014,3,2,1.3333,1.3333,1.3333,0.5
Arabic,n01116018,19,18,3.5205,1.8947,4.4165,0.3553
Arabic,n01116021,13,12,2.9231,1.8462,3.4623,0.3337
Arabic,n01116035,16,15,3.5417,1.875,3.9461,0.1953
Arabic,n01117007,14,13,3.2967,1.8571,3.6763,0.2087
Arabic,n01117014,18,17,3.0196,1.8889,4.2229,0.5156
Arabic,n01118003,3,2,1.3333,1.3333,1.3333,0.5
Arabic,n01118010,17,16,3.1912,1.8824,4.0894,0.407
Arabic,n01118017,14,13,3.0,1.8571,3.6182,0.3511
Arabic,n01119011,20,19,3.0947,1.9,4.5127,0.5427
Arabic,n01119012,25,24,3.8533,1.92,5.1475,0.401
Arabic,n01119017,12,11,2.6515,1.8333,3.2773,0.4334
Arabic,n01119019,6,5,1.6667,1.6667,2.127,1.0
Arabic,n01120008,28,27,4.0344,1.9286,5.5397,0.4168
Arabic,n01120010,12,11,2.4697,1.8333,3.302,0.5667
Arabic,n01120020,8,7,2.2143,1.75,2.568,0.4324
Arabic,n01121032,18,17,3.2092,1.8889,4.2852,0.449
Arabic,n01121051,7,6,2.0952,1.7143,2.3514,0.4021
Arabic,n01122024,24,23,3.1884,1.9167,5.0005,0.5876
Arabic,n01123010,14,13,3.0659,1.8571,3.6124,0.3113
Arabic,n01123012,14,13,3.1538,1.8571,3.6238,0.266
Arabic,n01123024,13,12,2.4872,1.8462,3.465,0.604
Arabic,n01125009,17,16,3.2794,1.8824,4.0965,0.369
Arabic,n01125016,20,19,3.4474,1.9,4.5822,0.4231
Arabic,n01125030,13,12,2.7179,1.8462,3.4814,0.4669
Arabic,n01127008,38,37,4.5277,1.9474,6.5755,0.4425
Arabic,n01127089,7,6,2.1905,1.7143,2.3795,0.2842
Arabic,n01127130,16,15,3.05,1.875,3.9442,0.4321
Arabic,n01128017,22,21,3.671,1.9091,4.7284,0.3751
Arabic,n01128021,25,24,3.7533,1.92,5.1743,0.4366
Arabic,n01128025,17,16,3.5294,1.8824,4.0801,0.2506
Arabic,n01128033,23,22,3.8261,1.913,4.9348,0.3669
Arabic,n01129006,11,10,2.4364,1.8182,3.1782,0.5455
Arabic,n01129010,11,10,2.4727,1.8182,3.1722,0.5166
Arabic,n01129017,22,21,3.4848,1.9091,4.8568,0.4654
Arabic,n01129021,19,18,3.7076,1.8947,4.4319,0.2855
Arabic,n01130003,9,8,2.3333,1.7778,2.7525,0.43
Arabic,n01130025,26,25,3.56,1.9231,5.2904,0.5139
Arabic,n01131007,21,20,3.619,1.9048,4.6078,0.3658
Arabic,n01131013,26,25,3.8,1.9231,5.2529,0.4363
Arabic,n01132006,13,12,2.9744,1.8462,3.4936,0.3152
Arabic,n01132013,29,28,4.1872,1.931,5.6482,0.393
Arabic,n01133014,15,14,2.9714,1.8667,3.7941,0.4268
Arabic,n01133022,23,22,4.3953,1.913,4.8909,0.1664
Arabic,n01134005,16,15,3.325,1.875,3.9731,0.3089
Arabic,n01134007,14,13,3.022,1.8571,3.6266,0.3417
Arabic,n01134015,20,19,4.9263,1.9,4.5084,-0.1602
Arabic,n01134020,15,14,2.9333,1.8667,3.8478,0.4616
Arabic,n01135002,28,27,4.9021,1.9286,5.5532,0.1796
Arabic,n01136005,22,21,3.6061,1.9091,4.8137,0.4158
Arabic,n01136006,18,17,3.3007,1.8889,4.2227,0.3951
Arabic,n01136010,27,26,4.245,1.9259,5.3993,0.3323
Arabic,n01137003,23,22,4.5375,1.913,4.8592,0.1092
Arabic,n01137010,14,13,2.8242,1.8571,3.6845,0.4708
Arabic,n01138007,19,18,4.1637,1.8947,4.3553,0.0779
Arabic,n01138017,19,18,3.4971,1.8947,4.3526,0.3481
Arabic,n01138026,10,9,2.7556,1.8,2.9276,0.1525
Arabic,n01139006,26,25,3.7262,1.9231,5.2846,0.4636
Arabic,n01139016,13,12,2.6923,1.8462,3.4821,0.4828
Arabic,n01139027,14,13,3.0659,1.8571,3.6864,0.3392
Arabic,n01140012,15,14,3.4476,1.8667,3.7877,0.177
Arabic,n01141002,20,19,4.1789,1.9,4.5238,0.1314
Arabic,n01141007,31,30,4.1892,1.9355,5.8728,0.4276
Arabic,n01141020,23,22,3.7787,1.913,4.9774,0.3912
Arabic,n01141022,19,18,3.8012,1.8947,4.3892,0.2357
Arabic,n01142007,25,24,4.26,1.92,5.1984,0.2862
Arabic,n01142008,23,22,3.4308,1.913,4.8643,0.4857
Arabic,n01143003,19,18,3.5205,1.8947,4.3599,0.3405
Arabic,n01143009,21,20,3.9524,1.9048,4.6608,0.257
Arabic,n01144021,27,26,4.0171,1.9259,5.3409,0.3876
Arabic,n01144023,22,21,4.2294,1.9091,4.71,0.1716
Arabic,n01144038,21,20,2.9714,1.9048,4.6901,0.617
Arabic,n01144041,7,6,2.4762,1.7143,2.3567,-0.1861
Arabic,n01145008,11,10,2.3273,1.8182,3.1191,0.6087
Arabic,n01145012,12,11,2.7273,1.8333,3.3044,0.3923
Arabic,n01145015,34,33,3.9323,1.9412,6.2559,0.5385
Arabic,n01145028,16,15,3.4833,1.875,4.0015,0.2437
Arabic,n01145034,20,19,3.4526,1.9,4.5441,0.4128
Arabic,n01146046,18,17,3.4379,1.8889,4.1946,0.3282
Arabic,n01147026,16,15,3.6833,1.875,3.9608,0.133
Arabic,n01147085,11,10,3.1273,1.8182,3.1485,0.016
Arabic,n01147087,19,18,3.7544,1.8947,4.4357,0.2681
Arabic,n01148029,19,18,3.5439,1.8947,4.3907,0.3393
Arabic,n01148035,9,8,2.2778,1.7778,2.7514,0.4864
Arabic,n01149002,23,22,3.4229,1.913,4.8953,0.4937
Arabic,n01149010,13,12,2.8205,1.8462,3.5028,0.4119
Arabic,n01149027,16,15,3.1667,1.875,3.9357,0.3732
Arabic,n01150007,19,18,3.4971,1.8947,4.3082,0.3361
Arabic,n01150031,16,15,2.9833,1.875,3.9933,0.4768
Arabic,n01150042,25,24,4.48,1.92,5.1377,0.2044
Arabic,n01150051,21,20,3.1524,1.9048,4.6392,0.5437
Arabic,w01001049,21,20,4.2667,1.9048,4.7106,0.1582
Arabic,w01002008,28,27,4.3413,1.9286,5.546,0.333
Arabic,w01002013,16,15,3.475,1.875,4.0074,0.2497
Arabic,w01002075,12,11,2.5758,1.8333,3.3258,0.5026
Arabic,w01003051,15,14,2.9524,1.8667,3.8545,0.4538
Arabic,w01003056,16,15,3.2417,1.875,3.984,0.352
Arabic,w01003062,16,15,3.8833,1.875,3.9789,0.0454
Arabic,w01004051,36,35,4.7603,1.9444,6.3021,0.3538
Arabic,w01005020,16,15,3.1,1.875,4.0025,0.4242
Arabic,w01005021,11,10,2.7636,1.8182,3.0991,0.2619
Arabic,w01005022,35,34,4.4807,1.9429,6.2303,0.4081
Arabic,w01005023,10,9,2.8889,1.8,2.9827,0.0793
Arabic,w01005024,14,13,3.7363,1.8571,3.6241,-0.0635
Arabic,w01006027,20,19,3.5789,1.9,4.5533,0.3672
Arabic,w01006081,15,14,2.8381,1.8667,3.8137,0.5011
Arabic,w01007004,23,22,3.8814,1.913,4.8592,0.3319
Arabic,w01007035,22,21,3.7273,1.9091,4.7973,0.3705
Arabic,w01007070,10,9,2.6889,1.8,2.9668,0.2382
Arabic,w01007087,10,9,2.6,1.8,2.9571,0.3086
Arabic,w01008043,18,17,3.3268,1.8889,4.3069,0.4053
Arabic,w01009010,12,11,2.7273,1.8333,3.3265,0.4013
Arabic,w01009017,30,29,3.7241,1.9333,5.7803,0.5345
Arabic,w01009027,20,19,3.8211,1.9,4.4723,0.2532
Arabic,w01010044,26,25,3.7292,1.9231,5.2691,0.4602
Arabic,w01010045,29,28,4.5468,1.931,5.6216,0.2912
Arabic,w01010046,19,18,3.7778,1.8947,4.405,0.2499
Arabic,w01010047,14,13,2.956,1.8571,3.6013,0.3699
Arabic,w01010048,18,17,3.5621,1.8889,4.2258,0.284
Arabic,w01012052,15,14,3.7524,1.8667,3.7791,0.014
Arabic,w01013083,32,31,3.7298,1.9375,5.9944,0.5582
Arabic,w01013096,29,28,3.798,1.931,5.66,0.4993
Arabic,w01013102,33,32,4.5038,1.9394,6.0696,0.3791
Arabic,w01014002,17,16,3.5,1.8824,4.0854,0.2657
Arabic,w01016028,30,29,4.6253,1.9333,5.6871,0.2829
Arabic,w01016034,17,16,2.9265,1.8824,4.1208,0.5336
Arabic,w01016070,19,18,3.5556,1.8947,4.3689,0.3287
Arabic,w01017004,28,27,4.7725,1.9286,5.5342,0.2113
Arabic,w01017046,27,26,3.4245,1.9259,5.466,0.5767
Arabic,w01018019,23,22,3.5336,1.913,4.9038,0.4581
Arabic,w01018029,22,21,3.2857,1.9091,4.7354,0.5129
Arabic,w01018101,51,50,6.0502,1.9608,7.7663,0.2956
Arabic,w01019014,19,18,3.7076,1.8947,4.3443,0.2599
